dataset,n_cohorts,repeat,method,n_cells,n_rows,lobo_r2,loco_r2,lobo_mae,loco_mae,gap
calce,4,4,age_linear,9,1800,0.1747046841126767,0.07119982376403333,0.14146050626570678,0.16668098488441968,-0.10350486034864337
calce,4,4,svr_rbf,9,1800,0.7400563783154048,0.023549228903481212,0.09429283225010625,0.194092133165637,-0.7165071494119236
calce,4,5,age_linear,12,2400,0.04408807695413475,0.02482666110721843,0.1618836294575685,0.1670974651893361,-0.01926141584691632
calce,4,5,svr_rbf,12,2400,0.9097363207438321,0.34852440589532047,0.05631097670394762,0.16001749160267023,-0.5612119148485117
calce,4,6,age_linear,13,2600,0.39353154962592185,0.2604063844281804,0.12048369708062559,0.1191963785512504,-0.13312516519774142
calce,4,6,svr_rbf,13,2600,0.858752553670533,-0.07481587951270108,0.051039741728503694,0.1580787816781129,-0.9335684331832341
calce,4,7,age_linear,11,2200,0.23838824848437756,0.16606731221082904,0.12344192938451509,0.14464878705422596,-0.07232093627354852
calce,4,7,svr_rbf,11,2200,0.8097034458470314,-0.8403738121454303,0.06109479713133414,0.2564823801762521,-1.6500772579924616
calce,4,8,age_linear,9,1800,0.1747046841126767,0.07119982376403333,0.14146050626570678,0.16668098488441968,-0.10350486034864337
calce,4,8,svr_rbf,9,1800,0.7400563783154048,0.023549228903481212,0.09429283225010625,0.194092133165637,-0.7165071494119236
calce,4,9,age_linear,10,2000,0.05401783406705185,0.006633618688876575,0.15807145907680803,0.1726975214499103,-0.047384215378175276
calce,4,9,svr_rbf,10,2000,0.7974647774926713,-0.4680011451097703,0.08461349685069929,0.27074956947727674,-1.2654659226024416
calce,4,10,age_linear,10,2000,0.15201783982052947,0.05284640384950501,0.14020356932823203,0.16146185468919383,-0.09917143597102446
calce,4,10,svr_rbf,10,2000,0.8340925887279207,-0.9342150812898341,0.08049915192764276,0.25449126341351136,-1.7683076700177547
calce,4,11,age_linear,11,2200,0.23838824848437756,0.16606731221082904,0.12344192938451509,0.14464878705422596,-0.07232093627354852
calce,4,11,svr_rbf,11,2200,0.8097034458470314,-0.8403738121454303,0.06109479713133414,0.2564823801762521,-1.6500772579924616
calce,5,0,age_linear,13,2600,0.2319382065617268,0.11821373856185413,0.12303145154961811,0.14864049499569526,-0.11372446799987268
calce,5,0,svr_rbf,13,2600,0.8195446804693475,-0.21765598288121057,0.06544579914645582,0.26749497768624936,-1.037200663350558
calce,5,1,age_linear,15,3000,0.15413929850303432,0.17387644122532864,0.13899200073949866,0.15269451540638315,0.01973714272229432
